DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,problem statements,2-word phrase,64,86,74%,"The DISC 11 introduces 22 problem statements - Indian Army (4), Indian Navy (5), Indian Air Force (5), Armoured Vehicles Nigam Limited (7) and Hindustan Shipyard Limited (1) - aimed at addressing critical defence challenges, inviting innova",254458
,phrase,cloud computing,2-word phrase,63,71,89%,"These include AI, Blockchain, Robotics, Big Data & Analytics, IoT, Virtual Reality, Cyber security, Cloud Computing, 3D Printing and Web 3",253145
,phrase,communication technologies,2-word phrase,63,94,67%,"Both sides concurred on joint efforts in Next Generation Communication Technologies, marking a significant stride towards global technological advancement",252455
,phrase,downloads,1-word phrase,63,97,65%,"The observers also get multiple facilities like filling & submission of reports, notification from the commission, downloads of all the required documents and many more",255032
,phrase,infrastructure planning,2-word phrase,63,98,64%,"Piyush Goyal in his address mentioned how PM GatiShakti programme is transforming infrastructure planning landscape, through use of cutting edge technology , that has contributed in terms of significant reduction in time and cost overruns i",252251
,phrase,innovation hubs,2-word phrase,62,96,65%,"COMET, one of the 25 Technology Innovation Hubs (TIH) set up under the National Mission for Interdisciplinary Cyber Physical Systems (NM-ICPS), of the Department of Science and Technology (DST) for enhancing the nation's capabilities in Adv",253581
,phrase,innovation rdi,2-word phrase,62,96,65%,,
,phrase,metadata,1-word phrase,62,91,68%,"The e-Jagriti platform has case filing, online fee payment, case monitoring modules for seamless disposal of cases by all the Commissions, has Smart search facility on archived consumer complaints / cases / judgements using AI technology fo",253686
,phrase,nm icps,2-word phrase,62,73,85%,"DH, an initiative under the National Mission on Interdisciplinary Cyber-Physical Systems (NM ICPS), Department of Science and Technology, Government of India, collaborated with the Centre for Computers and Communication Technology (CCCT), C",262976
,phrase,virtual reality,2-word phrase,62,98,63%,"With the addition of this new campus, the NACIN will focus on the use of new age technologies such as Augmented & Virtual Reality, Block-chain as well as Artificial Intelligence and other emerging Technologies for training and capacity buil",252367
,phrase,driven innovation,2-word phrase,61,90,68%,"Initiatives like 100 Cube Odisha will tap the untapped potential of the youth and engineer solution-driven innovation and start-up revolution, he said",253622
,phrase,surveillance system,2-word phrase,61,93,66%,"Additionally, the Ministry is developing a National Pest Surveillance System in collaboration with the private sector",252478
,phrase,doppler,1-word phrase,60,99,61%,"For example, the number of Doppler radars in the country has increased from 15 in 2014 to 39 in 2023, and additional 25 radars will be added in the next 2-3 years",252409
,phrase,global capability,2-word phrase,60,86,70%,"4 % OF WORLD’S COMMERCIAL EXPORTS IN 2022 INDIA’S SHARE IN DIGITALLY DELIVERED SERVICES EXPORTS STANDS AT 6% IN 2023; INDIA HAS 1,580 GLOBAL CAPABILITY CENTRES INDIA WITNESSES 92 LAKH FOREIGN TOURIST ARRIVALS IN 2023 INDIAN E-COMMERCE INDUS",257157
,phrase,hackathons,1-word phrase,60,82,73%,"Srinivas, Secretary, DARPG, concluded the session by charting the way forward to focus on: Promotion of Universalized face Authentication processes for simplification of service delivery Incorporation of Bhashini , service plus, etc in e-go",252077
,phrase,india’s digital public,3-word phrase,60,84,71%,He said that major nations are interested in India’s digital public infrastructure,256914
,phrase,abhishek singh,2-word phrase,59,68,87%,"The inaugural session was graced by eminent dignitaries –Prof Ajay Kumar Sood, Principal Scientific Adviser to the Government of India; Shri Abhishek Singh, Additional Secretary, MeitY; Mr Tim Curtis, Director, UNESCO South Asia Regional Of",255878
,phrase,chip design,2-word phrase,59,80,74%,ies under SemiconIndia Design Linked Incentive (DLI) Scheme to catalyze the semiconductor chip design ecosystem in the country An announcement on two futureDESIGN semiconductor fabless companies under the Semicon India Design Linked Incenti,253169
,phrase,companies like,2-word phrase,59,96,61%,"Companies like Arc Robotics, Nishkam, Myways",252590
,phrase,diksha,1-word phrase,59,97,61%,"§ Under PM e-VIDYA, DIKSHA is the one nation, one digital education infrastructure",252139
,phrase,emerging technologies like,3-word phrase,59,65,91%,"Today, Indians are very important players and participants in shaping the future of emerging technologies like AI, semiconductors, and cybersecurity",253798
,phrase,expand access,2-word phrase,59,93,63%,"Parallelly, to reduce mortality due to TB, the programme will expand access to novel initiatives such as the Differentiated TB Care to provide specialised care for high-risk patients and increased nutritional support through Ni-kshay Poshan",263518
,phrase,gpus,1-word phrase,59,64,92%,"The ecosystem will comprise AI compute infrastructure of 10,000 or more Graphics Processing Units (GPUs), built through public-private partnership",254635
,phrase,institutes nstis,2-word phrase,59,79,75%,,
,phrase,modeling,1-word phrase,59,94,63%,"Moreover, a 5 days' workshop on Smart Transportation and Modeling under CATTS was also conducted at IAHE, NOIDA in which 52 officers participated",252096
,phrase,ar vr,2-word phrase,58,87,67%,"Industry Number of direct jobs 1 Advertising 11,839 2 Aeronautics Aerospace & Defence 12,801 3 Agriculture 83,307 4 Artificial Intelligence (AI) 23,918 5 Airport Operations 1,205 6 Analytics 9,450 7 Animation 2,104 8 AR VR (Augmented + Virt",263468
,phrase,bridge the digital,3-word phrase,58,74,78%,"Similarly, the National Education Policy gives adequate thrust to bridge the digital divide and create a uniform educational structure for the benefit of the underprivileged students",252724
,phrase,domain specific,2-word phrase,58,87,67%,Domain specific Centres of Excellence : MeitY has operationalised Centres of Excellence (CoEs) in diverse areas of national interest for driving self- sufficiency and creating capabilities to capture new and emerging technology areas,257538
,phrase,international telecommunication,2-word phrase,58,83,70%,", 2024 in New Delhi by the National Institute of Communication Finance (NICF) and the International Telecommunication Union (ITU) Secretariat in Geneva with support of its Area Office for South Asia and Innovation Centre, Delhi",254226
,phrase,training institutes nstis,3-word phrase,58,77,75%,,
,phrase,dss,1-word phrase,57,86,66%,"Indigenously developed Decision Support System The India Meteorological Department has developed the in-house Web-GIS-based integrated Decision Support System (DSS) known as the Weather Analysis and Forecast Enabling System (WAFES), inspire",252409
,phrase,iit hyderabad,2-word phrase,57,86,66%,"Meenakshi Shankar, Founder, Wise Owl Consulting; and Shri Satish Pandey, Chief Customer Officer, Siemens India & Country Head, Siemens Sri Lanka , Maldives in a workshop at Day 3 of Startup, Technology and Innovation B2B Meet at IISF 2023 I",252590
,phrase,industry needs,2-word phrase,57,95,60%,"In alignment with NEP 2020, the SWAYAM Plus platform will now include courses supporting industry needs that enhance learners’ employability",254237
,phrase,technologies like artificial,3-word phrase,57,58,98%,"Expressing confidence in the potential and capability of the public sector, Shri Dhankhar exhorted the public sector to make full use of emerging and disruptive technologies like artificial intelligence and quantum computing",252525
,phrase,largest startup ecosystem,3-word phrase,56,88,64%,"He also mentioned unprecedented strides in green and alternatives sources of energy, 3 times increase in renewable energy capacity, 20 times capacity in solar energy capacity, affordable data prices have led to digital inclusion, optical fi",252226
